Brand,Price,Color,Features,Condition,GPU,OS,Storage Type,Hard Drive Capacity,SSD Capacity,Ram Size
10,116.56,19,1,1,4,5,4,69.0,69.0,69.0
10,21.8,19,1,9,4,5,4,69.0,69.0,69.0
2,626.0,0,8,8,0,0,0,69.0,240.0,69.0
10,481.8,19,7,7,0,0,0,69.0,480.0,69.0
1,389.8,19,1,8,0,0,4,69.0,240.0,69.0
10,516.0,19,1,8,0,5,4,69.0,69.0,69.0
10,85.06,19,1,1,4,5,4,69.0,69.0,69.0
10,500.5,19,1,7,0,5,4,69.0,69.0,69.0
10,462.2,0,1,7,0,5,4,69.0,69.0,69.0
10,28.8,19,1,1,4,5,4,69.0,69.0,69.0
10,491.0,19,1,7,0,5,4,69.0,69.0,69.0
1,392.0,19,8,8,0,0,4,69.0,480.0,69.0
10,383.5,0,7,8,0,0,0,69.0,120.0,69.0
1,568.5,0,5,8,0,0,0,69.0,960.0,69.0
10,573.0,0,7,8,0,0,0,69.0,960.0,69.0
10,142.9,19,1,1,4,5,4,69.0,69.0,69.0
10,10.85,19,1,8,4,5,4,69.0,69.0,69.0
10,80.75,19,1,1,4,5,4,69.0,69.0,69.0
10,23.88,19,1,8,4,5,4,69.0,69.0,69.0
10,251.6,19,1,8,4,5,4,69.0,69.0,69.0
1,451.5,19,7,8,1,0,4,69.0,960.0,69.0
10,80.5,19,1,1,4,5,4,69.0,69.0,69.0
10,478.5,19,1,7,0,5,4,69.0,69.0,69.0
10,766.0,19,1,7,0,5,4,69.0,69.0,69.0
1,221.2,1,1,10,4,5,2,69.0,69.0,69.0
10,399.0,0,1,7,0,5,4,69.0,69.0,69.0
2,45.1,19,1,1,4,5,4,69.0,69.0,69.0
9,92.5,19,1,1,4,5,4,69.0,69.0,69.0
1,1463.0,0,11,8,0,0,4,69.0,4.0,69.0
10,373.0,19,1,8,0,5,4,69.0,69.0,69.0
1,416.2,19,7,8,0,0,4,69.0,480.0,69.0
10,394.8,19,1,8,0,5,4,69.0,69.0,69.0
10,382.0,19,1,1,4,5,4,69.0,69.0,69.0
1,293.2,19,7,8,0,0,4,69.0,120.0,69.0
10,783.5,0,1,8,0,5,4,69.0,69.0,69.0
10,727.0,0,1,8,0,5,4,69.0,69.0,69.0
3,699.0,2,12,1,1,0,0,2.0,2.0,64.0
10,391.5,19,1,7,0,5,4,69.0,69.0,69.0
10,411.5,19,1,7,0,5,4,69.0,69.0,69.0
10,229.6,19,1,7,0,5,4,69.0,69.0,69.0
10,199.9,19,1,10,4,5,4,69.0,69.0,69.0
2,542.5,0,1,10,4,5,4,69.0,69.0,69.0
10,548.5,19,1,7,0,5,4,69.0,69.0,69.0
10,655.5,19,1,1,0,5,4,69.0,69.0,69.0
2,464.5,19,4,8,0,0,0,69.0,120.0,69.0
1,334.2,0,8,8,0,0,4,69.0,240.0,69.0
10,112.2,19,1,1,4,5,4,69.0,69.0,69.0
10,114.5,19,1,1,4,5,4,69.0,69.0,69.0
10,123.2,19,1,1,4,5,4,69.0,69.0,69.0
10,457.2,0,1,7,0,5,4,69.0,69.0,69.0
10,89.6,19,1,1,4,5,4,69.0,69.0,69.0
10,58.56,19,1,1,4,5,4,69.0,69.0,69.0
10,130.4,19,1,1,4,5,4,69.0,69.0,69.0
10,318.0,19,1,8,4,5,4,69.0,69.0,69.0
10,88.25,19,1,1,4,5,4,69.0,69.0,69.0
7,103.25,19,1,1,4,5,4,69.0,69.0,69.0
10,2506.0,19,1,1,0,5,4,69.0,69.0,69.0
10,309.2,19,1,1,4,5,4,69.0,69.0,69.0
10,526.0,19,1,7,0,5,4,69.0,69.0,69.0
10,543.5,0,1,7,1,5,4,69.0,69.0,69.0
10,2288.0,0,1,7,0,5,4,69.0,69.0,69.0
10,377.8,19,2,8,0,0,4,69.0,240.0,69.0
10,382.5,19,1,8,0,5,4,69.0,69.0,69.0
1,307.2,19,1,8,0,0,4,69.0,120.0,69.0
7,86.1,19,1,1,4,5,4,69.0,69.0,69.0
10,1077.0,19,3,8,0,0,0,16.0,512.0,69.0
10,58.62,19,1,1,4,5,4,69.0,69.0,69.0
10,53.16,19,1,1,4,5,4,69.0,69.0,69.0
10,85.25,19,1,10,4,5,4,69.0,69.0,69.0
10,363.2,19,1,7,0,5,4,69.0,69.0,69.0
9,91.7,19,1,1,4,5,4,69.0,69.0,69.0
2,449.8,19,9,8,0,0,4,69.0,960.0,69.0
10,289.0,19,1,8,0,5,4,69.0,69.0,69.0
10,313.2,0,1,7,1,5,4,69.0,69.0,69.0
10,22.06,19,1,9,4,5,4,69.0,69.0,69.0
10,374.5,0,1,7,0,5,4,69.0,69.0,69.0
10,59.22,19,1,10,4,5,4,69.0,69.0,69.0
1,272.0,19,4,8,0,0,0,69.0,120.0,69.0
10,39.12,19,1,10,4,5,4,69.0,69.0,69.0
10,45.1,19,1,1,4,5,4,69.0,69.0,69.0
10,27.94,19,1,9,4,5,4,69.0,69.0,69.0
1,469.0,19,4,7,0,0,4,69.0,960.0,69.0
3,200.0,19,1,8,4,5,4,69.0,69.0,69.0
10,107.6,19,1,1,4,5,4,69.0,69.0,69.0
1,652.0,19,11,8,0,0,4,69.0,960.0,69.0
1,422.5,19,1,8,0,0,4,69.0,480.0,69.0
10,79.4,19,1,1,4,5,4,69.0,69.0,69.0
10,27.58,19,1,10,4,5,4,69.0,69.0,69.0
1,235.0,19,1,8,4,5,0,256.0,256.0,69.0
10,571.5,0,1,7,0,5,4,69.0,69.0,69.0
10,526.5,19,1,8,4,5,4,69.0,69.0,69.0
1,214.8,0,2,8,0,0,4,69.0,256.0,8.0
10,103.5,19,1,1,4,5,4,69.0,69.0,69.0
10,485.5,19,1,1,4,5,4,69.0,69.0,69.0
9,60.06,19,1,1,4,5,4,69.0,69.0,69.0
4,93.9,19,1,10,4,5,4,69.0,69.0,69.0
5,113.25,19,1,1,4,5,4,69.0,69.0,69.0
10,32.44,19,1,1,4,5,4,69.0,69.0,69.0
10,46.06,19,1,1,4,5,4,69.0,69.0,69.0
10,336.2,19,1,8,0,5,4,69.0,69.0,69.0
10,426.0,0,1,7,0,5,4,69.0,69.0,69.0
10,303.8,0,1,7,0,5,4,69.0,69.0,69.0
10,63.7,19,1,1,4,5,4,69.0,69.0,69.0
10,460.0,19,1,1,0,5,4,69.0,69.0,69.0
10,380.0,19,1,8,4,0,4,69.0,69.0,69.0
10,394.0,0,7,8,0,0,0,69.0,240.0,69.0
10,75.94,19,1,8,4,5,4,69.0,69.0,69.0
10,203.8,19,1,1,4,5,4,69.0,69.0,69.0
10,81.6,19,1,10,4,5,4,69.0,69.0,69.0
10,85.25,19,1,1,4,5,4,69.0,69.0,69.0
2,319.5,0,9,8,4,0,4,69.0,240.0,69.0
10,3156.0,0,1,1,0,5,4,69.0,69.0,69.0
10,339.5,19,1,8,0,5,4,69.0,69.0,69.0
